"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat001",93.5514,94.6936,76.2032,91.2034,88.703,90.6282,69.2334,86.4172,"Support Vector Machine","SVM 1"
"Repeat002",93.993,94.9806,76.5096,91.538,88.7028,90.2474,63.8324,85.2906,"Support Vector Machine","SVM 1"
"Repeat003",93.6402,94.6934,76.5004,91.2804,89.7806,91.3992,63.7788,86.2132,"Support Vector Machine","SVM 1"
"Repeat004",94.0822,94.9802,76.057,91.4864,89.4172,91.5732,65.6862,86.5182,"Support Vector Machine","SVM 1"
"Repeat005",93.903,94.503,76.2052,91.2034,88.3394,90.4414,66.9162,85.809,"Support Vector Machine","SVM 1"
"Repeat006",93.9048,94.79,77.2556,91.5382,88.6904,90.639,66.1854,85.905,"Support Vector Machine","SVM 1"
"Repeat007",93.6416,94.4548,77.5668,91.3332,89.7618,91.0202,67.4688,86.6316,"Support Vector Machine","SVM 1"
"Repeat008",93.375,94.7422,77.1076,91.3324,89.0414,91.2052,66.8806,86.4262,"Support Vector Machine","SVM 1"
"Repeat009",93.4634,94.8378,76.808,91.3584,89.4112,90.6228,65.0266,85.8972,"Support Vector Machine","SVM 1"
"Repeat010",93.64,94.8854,76.8044,91.4344,89.7554,91.1978,62.1034,85.7996,"Support Vector Machine","SVM 1"
"Repeat011",93.4618,94.598,76.9584,91.255,89.3672,90.443,66.2034,85.9992,"Support Vector Machine","SVM 1"
"Repeat012",93.9922,94.6944,77.2602,91.5126,89.0602,91.2034,66.9164,86.4314,"Support Vector Machine","SVM 1"
"Repeat013",94.1684,94.694,76.2054,91.3836,89.7242,91.0148,66.8448,86.5216,"Support Vector Machine","SVM 1"
"Repeat014",93.5508,94.6454,76.8044,91.2802,88.6654,91.194,68.0748,86.512,"Support Vector Machine","SVM 1"
"Repeat015",93.8172,94.8376,76.9536,91.4868,89.0666,90.2436,65.6684,85.7014,"Support Vector Machine","SVM 1"
"Repeat016",93.8158,94.742,77.2534,91.4862,89.3922,91.0128,65.6506,86.21,"Support Vector Machine","SVM 1"
"Repeat017",93.6382,94.6938,77.11,91.3832,89.0664,91.0128,65.6508,86.1132,"Support Vector Machine","SVM 1"
"Repeat018",93.992,94.6936,76.5152,91.3836,89.3794,90.8242,66.8626,86.312,"Support Vector Machine","SVM 1"
"Repeat019",93.9926,94.6462,76.9584,91.4354,89.0224,90.826,65.6508,86.0044,"Support Vector Machine","SVM 1"
"Repeat020",93.9038,95.0766,76.5096,91.5638,89.0164,91.207,67.4688,86.5174,"Support Vector Machine","SVM 1"
"Repeat021",94.2584,94.4552,75.9002,91.2292,89.0162,90.8206,68.681,86.514,"Support Vector Machine","SVM 1"
"Repeat022",93.4648,95.0286,76.055,91.333,88.7154,90.8224,66.9162,86.1206,"Support Vector Machine","SVM 1"
"Repeat023",94.1694,94.5512,77.4038,91.5124,88.3458,91.1978,66.239,86.1086,"Support Vector Machine","SVM 1"
"Repeat024",93.4642,94.6462,76.3522,91.1782,88.3208,90.828,65.116,85.7014,"Support Vector Machine","SVM 1"
"Repeat025",93.8176,94.5984,77.2638,91.41,89.4236,91.392,68.6808,86.939,"Support Vector Machine","SVM 1"
"Repeat026",93.463,94.8374,76.3546,91.2808,88.6842,91.2122,67.4688,86.4214,"Support Vector Machine","SVM 1"
"Repeat027",93.9942,94.885,75.9036,91.3844,89.0476,91.2126,68.6098,86.7332,"Support Vector Machine","SVM 1"
"Repeat028",93.5496,94.6944,75.9068,91.1522,89.0476,91.1978,65.7042,86.2058,"Support Vector Machine","SVM 1"
"Repeat029",93.7296,94.7416,77.1052,91.4352,88.6844,90.632,64.4206,85.592,"Support Vector Machine","SVM 1"
"Repeat030",93.6404,94.5502,76.5026,91.2036,89.0352,90.4394,67.4688,86.1124,"Support Vector Machine","SVM 1"
"Repeat031",93.727,95.1242,77.2544,91.6662,89.3672,90.6228,65.5972,85.9944,"Support Vector Machine","SVM 1"
"Repeat032",93.64,94.7896,76.5082,91.3324,88.3584,90.2402,63.2798,85.0834,"Support Vector Machine","SVM 1"
"Repeat033",93.729,95.028,76.0606,91.41,88.3458,90.8116,63.28,85.3894,"Support Vector Machine","SVM 1"
"Repeat034",93.6388,94.6936,76.963,91.358,88.7156,91.9726,66.2924,86.6334,"Support Vector Machine","SVM 1"
"Repeat035",93.817,94.5984,76.506,91.2804,88.703,91.5806,67.4688,86.6214,"Support Vector Machine","SVM 1"
"Repeat036",93.7284,94.6942,76.6518,91.3322,89.3924,91.2088,65.6148,86.3136,"Support Vector Machine","SVM 1"
"Repeat037",93.8168,94.6938,76.2066,91.2806,89.4048,91.3956,67.469,86.7246,"Support Vector Machine","SVM 1"
"Repeat038",93.462,95.0766,76.0526,91.3578,88.3458,90.6356,67.4156,86.007,"Support Vector Machine","SVM 1"
"Repeat039",93.64,94.5982,76.9536,91.306,89.4112,91.1998,65.6504,86.3168,"Support Vector Machine","SVM 1"
"Repeat040",94.1698,94.7898,77.1098,91.5896,89.0602,91.3994,64.5276,86.1204,"Support Vector Machine","SVM 1"
"Repeat041",93.9046,94.933,76.5072,91.4868,89.405,90.628,66.8626,86.2084,"Support Vector Machine","SVM 1"
"Repeat042",93.9038,95.028,76.513,91.5382,89.0412,91.3882,65.7756,86.3162,"Support Vector Machine","SVM 1"
"Repeat043",93.9922,94.7902,76.2066,91.3838,89.0474,91.2052,65.6686,86.222,"Support Vector Machine","SVM 1"
"Repeat044",93.463,94.6462,77.1052,91.3058,89.0476,91.2106,67.433,86.5198,"Support Vector Machine","SVM 1"
"Repeat045",93.8164,94.8372,76.9596,91.4866,89.3982,90.8168,66.7738,86.3122,"Support Vector Machine","SVM 1"
"Repeat046",93.7266,94.742,77.5518,91.5114,88.3396,90.427,66.8806,85.7992,"Support Vector Machine","SVM 1"
"Repeat047",93.8152,94.5986,76.0504,91.2034,89.0414,90.6282,66.2924,86.0084,"Support Vector Machine","SVM 1"
"Repeat048",93.9064,94.742,76.3522,91.3582,89.7682,91.5806,65.7218,86.6294,"Support Vector Machine","SVM 1"
"Repeat049",93.5502,94.79,76.6586,91.3326,88.3082,90.4394,66.8806,85.797,"Support Vector Machine","SVM 1"
"Repeat050",93.7282,94.8374,76.8088,91.4352,89.361,90.6264,64.4564,85.7964,"Support Vector Machine","SVM 1"
"Repeat051",93.5516,94.5032,76.6608,91.1782,89.0224,91.7856,66.8628,86.724,"Support Vector Machine","SVM 1"
"Repeat052",93.7272,94.6456,76.8044,91.3314,89.3732,90.8224,65.0444,85.9986,"Support Vector Machine","SVM 1"
"Repeat053",93.8184,94.7892,76.8032,91.4352,88.7092,91.0128,65.6864,86.0142,"Support Vector Machine","SVM 1"
"Repeat054",93.7284,94.9328,76.0516,91.3576,88.7158,91.1944,67.9858,86.5198,"Support Vector Machine","SVM 1"
"Repeat055",93.9054,94.6462,76.3522,91.307,89.4234,91.401,65.6506,86.4284,"Support Vector Machine","SVM 1"
"Repeat056",93.9936,94.646,76.9526,91.4356,88.3334,90.4398,68.0928,86.0086,"Support Vector Machine","SVM 1"
"Repeat057",93.9052,94.3596,76.653,91.2032,89.3986,91.401,67.4154,86.7264,"Support Vector Machine","SVM 1"
"Repeat058",94.1704,94.7894,75.9036,91.3838,88.7094,91.0184,68.057,86.4252,"Support Vector Machine","SVM 1"
"Repeat059",94.0804,94.9338,77.2622,91.6672,89.0286,90.4488,68.6988,86.3262,"Support Vector Machine","SVM 1"
"Repeat060",93.5508,94.551,76.3568,91.1526,89.7368,91.2016,68.6276,86.9288,"Support Vector Machine","SVM 1"
"Repeat061",93.6404,94.503,76.8046,91.2294,89.7682,90.6226,68.0036,86.5186,"Support Vector Machine","SVM 1"
"Repeat062",93.5504,94.5976,76.3534,91.1776,90.426,89.8644,68.057,86.3124,"Support Vector Machine","SVM 1"
"Repeat063",93.6398,94.5986,76.2044,91.178,89.4046,91.5898,69.269,87.1444,"Support Vector Machine","SVM 1"
"Repeat064",93.8182,95.1244,75.908,91.4612,89.0664,91.5936,66.3458,86.5384,"Support Vector Machine","SVM 1"
"Repeat065",93.6396,94.7896,77.259,91.461,89.7558,91.1998,68.7166,86.9382,"Support Vector Machine","SVM 1"
"Repeat066",93.3746,94.6944,75.7532,91.0754,89.0476,91.0276,66.221,86.2174,"Support Vector Machine","SVM 1"
"Repeat067",93.8146,94.6462,76.1986,91.2544,89.3922,90.817,66.221,86.2036,"Support Vector Machine","SVM 1"
"Repeat068",93.463,94.7424,75.9,91.1528,89.7556,91.5844,67.4686,86.9312,"Support Vector Machine","SVM 1"
"Repeat069",93.6396,94.9326,76.359,91.3836,88.2956,90.8242,68.7522,86.3098,"Support Vector Machine","SVM 1"
