"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat001",100,100,100,100,87.6376,90.0532,67.4332,85.4854,"Random Forest","RF 1"
"Repeat002",100,100,100,100,86.9424,89.8646,66.8268,85.0844,"Random Forest","RF 1"
"Repeat003",100,100,100,100,88.0264,90.2526,64.3852,85.1868,"Random Forest","RF 1"
"Repeat004",100,100,100,100,87.287,90.044,66.2566,85.178,"Random Forest","RF 1"
"Repeat005",100,100,100,100,87.638,91.0184,68.6808,86.2178,"Random Forest","RF 1"
"Repeat006",100,100,100,100,86.5664,90.4488,66.827,85.29,"Random Forest","RF 1"
"Repeat007",100,100,100,100,87.9948,89.6684,65.6684,85.0816,"Random Forest","RF 1"
"Repeat008",100,100,100,100,87.306,89.4892,66.9162,84.9968,"Random Forest","RF 1"
"Repeat009",100,100,100,100,86.9362,90.4342,67.469,85.4882,"Random Forest","RF 1"
"Repeat010",100,100,100,100,87.287,89.0972,63.9214,84.2586,"Random Forest","RF 1"
"Repeat011",100,100,100,100,86.8922,90.0588,66.2208,85.0726,"Random Forest","RF 1"
"Repeat012",100,100,100,100,86.585,89.6704,68.1106,85.0908,"Random Forest","RF 1"
"Repeat013",100,100,100,100,87.9576,89.4816,68.0392,85.388,"Random Forest","RF 1"
"Repeat014",100,100,100,100,87.6004,89.099,66.845,84.873,"Random Forest","RF 1"
"Repeat015",100,100,100,100,86.2658,89.6704,67.4688,84.8856,"Random Forest","RF 1"
"Repeat016",100,100,100,100,87.2806,89.478,67.4154,85.073,"Random Forest","RF 1"
"Repeat017",100,100,100,100,87.6442,90.2436,66.2386,85.3882,"Random Forest","RF 1"
"Repeat018",100,100,100,100,86.554,90.053,67.4866,85.1788,"Random Forest","RF 1"
"Repeat019",100,100,100,100,86.9112,90.0626,64.3852,84.7676,"Random Forest","RF 1"
"Repeat020",100,100,100,100,87.9574,89.6776,68.663,85.59,"Random Forest","RF 1"
"Repeat021",100,100,100,100,86.9174,90.6318,68.075,85.7018,"Random Forest","RF 1"
"Repeat022",100,100,100,100,87.2994,89.6758,64.4742,84.6758,"Random Forest","RF 1"
"Repeat023",100,100,100,100,86.5602,90.044,66.827,85.069,"Random Forest","RF 1"
"Repeat024",100,100,100,100,86.5476,89.2966,65.6684,84.4626,"Random Forest","RF 1"
"Repeat025",100,100,100,100,87.6566,90.2362,66.2566,85.3894,"Random Forest","RF 1"
"Repeat026",100,100,100,100,86.5664,91.209,67.4868,85.804,"Random Forest","RF 1"
"Repeat027",100,100,100,100,87.2808,90.2636,69.804,85.917,"Random Forest","RF 1"
"Repeat028",100,100,100,100,87.9888,90.0532,67.5222,85.5892,"Random Forest","RF 1"
"Repeat029",100,100,100,100,86.2158,89.4854,66.2388,84.5672,"Random Forest","RF 1"
"Repeat030",100,100,100,100,86.5538,91.9746,66.8806,86.115,"Random Forest","RF 1"
"Repeat031",100,100,100,100,86.9046,90.0586,66.8804,85.1824,"Random Forest","RF 1"
"Repeat032",100,100,100,100,86.6164,91.1978,66.8448,85.7074,"Random Forest","RF 1"
"Repeat033",100,100,100,100,86.93,89.8646,64.4562,84.674,"Random Forest","RF 1"
"Repeat034",100,100,100,100,86.9362,90.2492,65.0626,84.9816,"Random Forest","RF 1"
"Repeat035",100,100,100,100,87.2868,90.0494,68.6988,85.5914,"Random Forest","RF 1"
"Repeat036",100,100,100,100,86.9424,90.0622,66.827,85.1898,"Random Forest","RF 1"
"Repeat037",100,100,100,100,86.9298,90.6336,66.8448,85.4898,"Random Forest","RF 1"
"Repeat038",100,100,100,100,86.2282,89.6776,63.8324,84.2538,"Random Forest","RF 1"
"Repeat039",100,100,100,100,86.2158,90.8204,67.5222,85.4958,"Random Forest","RF 1"
"Repeat040",100,100,100,100,87.312,90.4394,66.8984,85.5014,"Random Forest","RF 1"
"Repeat041",100,100,100,100,87.6192,89.87,65.7042,85.0796,"Random Forest","RF 1"
"Repeat042",100,100,100,100,86.56,90.6266,68.1998,85.5976,"Random Forest","RF 1"
"Repeat043",100,100,100,100,85.8774,90.6298,66.2924,85.0918,"Random Forest","RF 1"
"Repeat044",100,100,100,100,87.2746,90.6336,65.6328,85.3842,"Random Forest","RF 1"
"Repeat045",100,100,100,100,87.6378,90.2418,65.5796,85.2834,"Random Forest","RF 1"
"Repeat046",100,100,100,100,87.2808,89.2858,66.2926,84.7752,"Random Forest","RF 1"
"Repeat047",100,100,100,100,86.9234,90.6262,66.8806,85.493,"Random Forest","RF 1"
"Repeat048",100,100,100,100,87.3058,90.63,65.6862,85.3994,"Random Forest","RF 1"
"Repeat049",100,100,100,100,86.8798,89.6758,65.722,84.769,"Random Forest","RF 1"
"Repeat050",100,100,100,100,86.535,90.2492,64.4386,84.7668,"Random Forest","RF 1"
"Repeat051",100,100,100,100,87.2554,90.6338,66.8626,85.5878,"Random Forest","RF 1"
"Repeat052",100,100,100,100,87.6128,89.6778,63.2442,84.5608,"Random Forest","RF 1"
"Repeat053",100,100,100,100,86.9234,88.9064,67.4868,84.6666,"Random Forest","RF 1"
"Repeat054",100,100,100,100,86.955,90.0514,64.9912,84.8782,"Random Forest","RF 1"
"Repeat055",100,100,100,100,86.9548,90.2566,68.057,85.5052,"Random Forest","RF 1"
"Repeat056",100,100,100,100,85.8646,89.8682,65.6862,84.5726,"Random Forest","RF 1"
"Repeat057",100,100,100,100,86.936,89.8664,66.827,85.0762,"Random Forest","RF 1"
"Repeat058",100,100,100,100,87.2808,89.108,69.8932,85.2952,"Random Forest","RF 1"
"Repeat059",100,100,100,100,86.936,90.0586,68.0928,85.399,"Random Forest","RF 1"
"Repeat060",100,100,100,100,87.2682,90.4376,66.827,85.4948,"Random Forest","RF 1"
"Repeat061",100,100,100,100,87.6504,90.4362,66.1676,85.4904,"Random Forest","RF 1"
"Repeat062",100,100,100,100,86.5412,90.2436,68.075,85.3852,"Random Forest","RF 1"
"Repeat063",100,100,100,100,87.9886,89.6796,65.6148,85.0828,"Random Forest","RF 1"
"Repeat064",100,100,100,100,86.5914,90.4452,68.1106,85.5064,"Random Forest","RF 1"
"Repeat065",100,100,100,100,87.638,89.4798,66.8984,85.0854,"Random Forest","RF 1"
"Repeat066",100,100,100,100,86.5726,90.643,65.5794,85.188,"Random Forest","RF 1"
"Repeat067",100,100,100,100,86.209,89.8626,65.0624,84.561,"Random Forest","RF 1"
"Repeat068",100,100,100,100,87.2994,90.4362,67.4686,85.5988,"Random Forest","RF 1"
"Repeat069",100,100,100,100,87.619,90.438,67.5226,85.6956,"Random Forest","RF 1"
"Repeat070",100,100,100,100,87.6314,89.868,65.6686,85.078,"Random Forest","RF 1"
"Repeat071",100,100,100,100,87.6378,89.8664,67.5044,85.3968,"Random Forest","RF 1"
"Repeat072",100,100,100,100,87.2808,91.0184,63.868,85.2908,"Random Forest","RF 1"
"Repeat073",100,100,100,100,86.2156,89.6776,68.5918,85.0812,"Random Forest","RF 1"
"Repeat074",100,100,100,100,87.2684,90.4398,66.8806,85.4926,"Random Forest","RF 1"
"Repeat075",100,100,100,100,86.9236,89.4744,65.009,84.561,"Random Forest","RF 1"
"Repeat076",100,100,100,100,86.5538,90.2582,65.098,84.8904,"Random Forest","RF 1"
"Repeat077",100,100,100,100,86.2468,90.6262,67.4868,85.3968,"Random Forest","RF 1"
"Repeat078",100,100,100,100,87.6318,90.2418,67.4508,85.59,"Random Forest","RF 1"
"Repeat079",100,100,100,100,87.6064,90.8208,68.0928,86.007,"Random Forest","RF 1"
"Repeat080",100,100,100,100,86.2032,90.817,66.2746,85.2798,"Random Forest","RF 1"
"Repeat081",100,100,100,100,86.5476,90.4286,66.2926,85.1762,"Random Forest","RF 1"
"Repeat082",100,100,100,100,86.2282,89.857,66.2746,84.769,"Random Forest","RF 1"
"Repeat083",100,100,100,100,86.5476,91.1978,65.6684,85.4912,"Random Forest","RF 1"
"Repeat084",100,100,100,100,86.5728,90.8244,67.5044,85.6008,"Random Forest","RF 1"
"Repeat085",100,100,100,100,87.638,90.2454,66.2922,85.3938,"Random Forest","RF 1"
"Repeat086",100,100,100,100,85.8334,90.2416,66.2208,84.8636,"Random Forest","RF 1"
"Repeat087",100,100,100,100,86.9296,90.436,64.9554,85.069,"Random Forest","RF 1"
"Repeat088",100,100,100,100,86.936,90.2436,66.221,85.1838,"Random Forest","RF 1"
"Repeat089",100,100,100,100,86.5726,89.87,67.4686,85.0822,"Random Forest","RF 1"
"Repeat090",100,100,100,100,87.6254,89.676,63.9036,84.6748,"Random Forest","RF 1"
"Repeat091",100,100,100,100,86.9238,90.251,66.2032,85.1894,"Random Forest","RF 1"
"Repeat092",100,100,100,100,86.5664,90.0642,66.8092,85.0876,"Random Forest","RF 1"
"Repeat093",100,100,100,100,86.5602,89.0954,66.239,84.4536,"Random Forest","RF 1"
"Repeat094",100,100,100,100,87.2808,90.8352,65.7042,85.5028,"Random Forest","RF 1"
"Repeat095",100,100,100,100,87.2934,90.0584,67.4688,85.3888,"Random Forest","RF 1"
"Repeat096",100,100,100,100,86.8924,90.0586,65.6686,84.9722,"Random Forest","RF 1"
"Repeat097",100,100,100,100,87.2934,90.8242,64.9732,85.3932,"Random Forest","RF 1"
"Repeat098",100,100,100,100,86.2408,91.0256,65.0268,85.1952,"Random Forest","RF 1"
"Repeat099",100,100,100,100,87.6252,89.8552,66.3104,85.1784,"Random Forest","RF 1"
"Repeat100",100,100,100,100,87.2806,90.2546,66.8096,85.3916,"Random Forest","RF 1"
"Repeat001",98.565,97.3312,98.585,97.8898,91.001,84.1226,75.5296,84.662,"Random Forest","RF 2"
"Repeat002",98.8368,96.8724,98.2866,97.6596,90.4436,83.9736,79.8172,84.9806,"Random Forest","RF 2"
"Repeat003",98.5444,97.228,97.9434,97.7128,90.9982,84.6202,77.7204,85.1886,"Random Forest","RF 2"
"Repeat004",98.7404,97.3808,98.4742,97.9428,91.1648,84.4422,76.8302,85.0726,"Random Forest","RF 2"
"Repeat005",98.2734,96.1144,96.9926,96.8644,91.4762,83.9838,76.8002,84.8844,"Random Forest","RF 2"
