"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",91.43,88.6234,78.4586,87.7056,90.1064,86.9888,71.6042,85.28,"M3","QDA_1"
"Repeat02",92.0496,88.862,78.766,88.0656,90.119,87.0002,72.2818,85.3934,"M3","QDA_1"
"Repeat03",91.7858,88.719,78.763,87.9118,89.7872,86.4342,71.0338,84.781,"M3","QDA_1"
"Repeat04",91.4304,88.8616,79.068,87.9368,89.7556,86.7894,71.7112,85.0722,"M3","QDA_1"
"Repeat05",91.696,88.6716,79.6718,88.015,89.762,87.5694,73.583,85.8112,"M3","QDA_1"
"Repeat06",91.6072,88.7194,78.6134,87.8346,90.1064,87.7746,76.435,86.5274,"M3","QDA_1"
"Repeat07",91.6966,88.5756,79.3674,87.912,89.0666,88.1466,72.8876,85.808,"M3","QDA_1"
"Repeat08",91.52,88.576,78.9118,87.783,89.4174,87.3828,73.4044,85.6054,"M3","QDA_1"
"Repeat09",91.5192,89.0536,78.3102,87.9372,89.054,86.8004,72.9412,85.0808,"M3","QDA_1"
"Repeat10",91.6962,88.6704,78.617,87.8338,89.7556,87.172,71.7114,85.272,"M3","QDA_1"
"Repeat11",91.8724,88.3362,78.3176,87.6542,90.075,87.7692,76.4528,86.518,"M3","QDA_1"
"Repeat12",91.5184,88.3374,79.2172,87.7066,90.094,87.9524,72.9768,86.0158,"M3","QDA_1"
"Repeat13",91.7838,88.289,78.6124,87.6546,90.094,87.7582,72.2638,85.802,"M3","QDA_1"
"Repeat14",91.6938,88.4798,79.0644,87.808,90.0626,87.5622,71.6756,85.5812,"M3","QDA_1"
"Repeat15",91.3448,88.4792,78.0088,87.526,90.1442,86.9912,71.6934,85.292,"M3","QDA_1"
"Repeat16",91.8718,88.528,79.0658,87.8862,90.4512,86.4194,71.6934,85.0776,"M3","QDA_1"
"Repeat17",91.4322,88.48,78.4644,87.6288,89.7746,88.1482,71.0694,85.705,"M3","QDA_1"
"Repeat18",91.6068,88.814,78.7718,87.9112,90.0876,87.9468,74.1354,86.2052,"M3","QDA_1"
"Repeat19",91.3432,88.528,79.5146,87.8086,89.7366,87.1978,69.8398,84.9766,"M3","QDA_1"
"Repeat20",91.7838,88.8148,78.7652,87.9628,90.0818,86.9908,72.2638,85.38,"M3","QDA_1"
"Repeat01",98.0562,91.7778,95.1812,94.187,87.6318,88.7198,63.7968,84.155,"M3","QDA_2"
"Repeat02",98.0574,91.6826,94.8782,94.0844,85.8896,89.665,63.2084,84.0448,"M3","QDA_2"
"Repeat03",97.8796,91.9692,95.1812,94.2382,86.2532,88.7178,66.827,84.2596,"M3","QDA_2"
"Repeat04",98.1452,91.873,94.7302,94.1864,86.2406,89.8462,63.886,84.3536,"M3","QDA_2"
"Repeat05",97.9678,91.9694,95.334,94.2904,85.5202,88.1392,67.5578,83.852,"M3","QDA_2"
"Repeat06",98.0574,92.0174,94.8794,94.2646,86.56,88.5332,65.009,83.9512,"M3","QDA_2"
"Repeat07",98.0578,91.9204,95.0332,94.2384,86.9362,89.2822,63.2442,84.1542,"M3","QDA_2"
"Repeat08",98.1458,92.113,95.1814,94.3934,85.1814,89.0932,66.2386,84.0548,"M3","QDA_2"
"Repeat09",98.0562,92.0172,94.7302,94.2382,87.6128,88.9066,68.057,84.9744,"M3","QDA_2"
"Repeat10",98.1456,92.1598,95.031,94.3924,86.56,89.8626,63.28,84.3542,"M3","QDA_2"
"Repeat11",98.4112,92.2562,94.8794,94.4964,86.1904,89.2966,65.6506,84.36,"M3","QDA_2"
"Repeat12",97.9676,91.9696,94.4282,94.136,86.5726,89.2856,65.1872,84.371,"M3","QDA_2"
"Repeat13",98.1452,91.8736,93.9748,94.0584,86.203,89.859,66.827,84.87,"M3","QDA_2"
"Repeat14",97.8788,92.0164,95.1814,94.2636,86.9048,89.0858,65.0622,84.3504,"M3","QDA_2"
"Repeat15",98.2336,92.1124,94.8794,94.367,87.2996,88.5276,62.6204,83.7482,"M3","QDA_2"
"Repeat16",98.2334,92.208,94.5774,94.367,86.9172,88.5332,65.5792,84.1524,"M3","QDA_2"
"Repeat17",97.8804,92.0652,94.8782,94.2386,87.3122,89.6722,63.8324,84.569,"M3","QDA_2"
"Repeat18",97.9676,91.9692,95.3338,94.29,86.2094,88.3332,65.0444,83.7414,"M3","QDA_2"
"Repeat19",98.2342,91.7782,95.0298,94.2132,87.2682,89.297,64.4564,84.4658,"M3","QDA_2"
"Repeat20",98.1442,91.8748,95.1788,94.2652,86.8984,89.11,64.492,84.2648,"M3","QDA_2"
