"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",82.4214,91.778,58.4312,83.359,81.2718,91.3886,56.5418,82.4976,"M6","NetLDA"
"Repeat02",82.067,91.4434,59.0374,83.1792,82.3246,91.3922,57.8254,83.0224,"M6","NetLDA"
"Repeat03",82.1574,91.396,59.1844,83.2046,82.0236,91.2108,55.9714,82.5188,"M6","NetLDA"
"Repeat04",82.2416,91.4432,58.7334,83.1782,81.6416,91.0074,54.2246,81.9942,"M6","NetLDA"
"Repeat05",82.3316,91.396,57.9882,83.0508,81.9738,91.0094,57.9144,82.719,"M6","NetLDA"
"Repeat06",82.686,91.3958,59.1818,83.3588,81.2906,91.3994,55.3296,82.3072,"M6","NetLDA"
"Repeat07",82.42,91.5868,58.8846,83.3332,81.9924,91.3956,56.5598,82.7144,"M6","NetLDA"
"Repeat08",82.6856,91.5392,58.4326,83.308,81.6666,91.392,59.0016,83.0326,"M6","NetLDA"
"Repeat09",82.5974,91.5386,58.88,83.3584,81.2908,91.1958,58.3958,82.7052,"M6","NetLDA"
"Repeat10",82.3304,91.635,58.8882,83.333,82.331,90.8242,56.6848,82.506,"M6","NetLDA"
"Repeat11",82.2442,91.7304,59.4882,83.4616,81.6166,91.2034,57.7896,82.7104,"M6","NetLDA"
"Repeat12",82.4186,91.6348,59.1888,83.4104,81.5976,91.0036,56.7022,82.4032,"M6","NetLDA"
"Repeat13",82.2436,91.5872,58.5838,83.2306,81.2532,91.2052,58.3958,82.7126,"M6","NetLDA"
"Repeat14",82.421,91.5392,58.7344,83.282,80.8772,91.3938,57.8252,82.6028,"M6","NetLDA"
"Repeat15",81.977,91.5388,58.732,83.1526,82.3434,91.1942,58.4136,83.021,"M6","NetLDA"
"Repeat16",82.7764,91.4914,58.879,83.3846,82.688,91.3938,55.9716,82.811,"M6","NetLDA"
"Repeat17",82.244,91.5392,58.7376,83.2306,81.9864,91.0166,56.6486,82.5102,"M6","NetLDA"
"Repeat18",82.7736,91.5868,58.7332,83.4106,81.9614,91.011,57.2014,82.6064,"M6","NetLDA"
"Repeat19",82.9494,91.6348,59.3346,83.5902,81.272,90.8224,57.754,82.4028,"M6","NetLDA"
"Repeat20",82.5962,91.7782,59.1866,83.5384,81.9486,91.3862,57.255,82.8056,"M6","NetLDA"
"Repeat01",58.2016,94.121,73.7902,80.1922,57.2996,91.7766,73.4222,78.6086,"M6","NetQDA"
"Repeat02",58.0328,94.2626,74.8516,80.4,57.218,92.5476,69.8754,78.389,"M6","NetQDA"
"Repeat03",59.0052,94.12,75.45,80.7088,55.2006,92.7402,67.3978,77.4782,"M6","NetQDA"
"Repeat04",58.5658,94.2154,75.744,80.6828,56.9108,93.3002,69.3408,78.6012,"M6","NetQDA"
"Repeat05",58.12,94.121,75.4612,80.4522,57.218,93.5,69.9288,78.9144,"M6","NetQDA"
"Repeat06",58.5754,94.3592,74.698,80.582,56.8546,92.7418,69.198,78.2866,"M6","NetQDA"
"Repeat07",59.2746,94.3112,74.3862,80.7092,56.1592,93.5036,69.9108,78.5972,"M6","NetQDA"
"Repeat08",58.4832,94.5024,74.3962,80.5818,53.7406,93.1208,69.2158,77.5832,"M6","NetQDA"
"Repeat09",57.9436,94.5034,74.8496,80.503,54.7806,92.923,69.929,77.883,"M6","NetQDA"
"Repeat10",58.8362,94.264,74.836,80.6322,54.7492,92.5312,67.5578,77.249,"M6","NetQDA"
"Repeat11",58.3978,94.3592,75.0034,80.5824,56.1276,92.7364,71.0518,78.3836,"M6","NetQDA"
"Repeat12",59.0978,94.0256,74.992,80.608,55.1192,93.4944,68.1816,77.9908,"M6","NetQDA"
"Repeat13",59.0144,94.2648,74.8518,80.6848,55.8458,92.9212,68.0036,77.8842,"M6","NetQDA"
"Repeat14",59.4582,94.264,75.2996,80.891,56.1276,93.4982,67.451,78.1784,"M6","NetQDA"
"Repeat15",58.3884,94.2166,75.1502,80.5298,56.9298,92.7288,68.6808,78.1944,"M6","NetQDA"
"Repeat16",58.479,94.217,74.8586,80.504,56.159,93.3076,68.6454,78.2886,"M6","NetQDA"
"Repeat17",57.94,94.456,75.1468,80.5278,55.119,93.8734,65.6684,77.774,"M6","NetQDA"
"Repeat18",59.1928,94.3114,75.909,80.9428,56.842,93.6848,68.752,78.6904,"M6","NetQDA"
"Repeat19",58.9314,94.312,75.4536,80.7888,57.5626,93.694,67.3976,78.6918,"M6","NetQDA"
"Repeat20",58.3904,94.2638,75.9,80.684,55.4698,92.7288,69.3226,77.876,"M6","NetQDA"
