"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",93.5514,94.6936,76.2032,91.2034,88.703,90.6282,69.2334,86.4172,"Support Vector Machine","SVM 1"
"Repeat02",93.993,94.9806,76.5096,91.538,88.7028,90.2474,63.8324,85.2906,"Support Vector Machine","SVM 1"
"Repeat03",93.6402,94.6934,76.5004,91.2804,89.7806,91.3992,63.7788,86.2132,"Support Vector Machine","SVM 1"
"Repeat04",94.0822,94.9802,76.057,91.4864,89.4172,91.5732,65.6862,86.5182,"Support Vector Machine","SVM 1"
"Repeat05",93.903,94.503,76.2052,91.2034,88.3394,90.4414,66.9162,85.809,"Support Vector Machine","SVM 1"
"Repeat06",93.9048,94.79,77.2556,91.5382,88.6904,90.639,66.1854,85.905,"Support Vector Machine","SVM 1"
"Repeat07",93.6416,94.4548,77.5668,91.3332,89.7618,91.0202,67.4688,86.6316,"Support Vector Machine","SVM 1"
"Repeat08",93.375,94.7422,77.1076,91.3324,89.0414,91.2052,66.8806,86.4262,"Support Vector Machine","SVM 1"
"Repeat09",93.4634,94.8378,76.808,91.3584,89.4112,90.6228,65.0266,85.8972,"Support Vector Machine","SVM 1"
"Repeat10",93.64,94.8854,76.8044,91.4344,89.7554,91.1978,62.1034,85.7996,"Support Vector Machine","SVM 1"
"Repeat11",93.4618,94.598,76.9584,91.255,89.3672,90.443,66.2034,85.9992,"Support Vector Machine","SVM 1"
"Repeat12",93.9922,94.6944,77.2602,91.5126,89.0602,91.2034,66.9164,86.4314,"Support Vector Machine","SVM 1"
"Repeat13",94.1684,94.694,76.2054,91.3836,89.7242,91.0148,66.8448,86.5216,"Support Vector Machine","SVM 1"
"Repeat14",93.5508,94.6454,76.8044,91.2802,88.6654,91.194,68.0748,86.512,"Support Vector Machine","SVM 1"
"Repeat15",93.8172,94.8376,76.9536,91.4868,89.0666,90.2436,65.6684,85.7014,"Support Vector Machine","SVM 1"
"Repeat16",93.8158,94.742,77.2534,91.4862,89.3922,91.0128,65.6506,86.21,"Support Vector Machine","SVM 1"
"Repeat17",93.6382,94.6938,77.11,91.3832,89.0664,91.0128,65.6508,86.1132,"Support Vector Machine","SVM 1"
"Repeat18",93.992,94.6936,76.5152,91.3836,89.3794,90.8242,66.8626,86.312,"Support Vector Machine","SVM 1"
"Repeat19",93.9926,94.6462,76.9584,91.4354,89.0224,90.826,65.6508,86.0044,"Support Vector Machine","SVM 1"
"Repeat20",93.9038,95.0766,76.5096,91.5638,89.0164,91.207,67.4688,86.5174,"Support Vector Machine","SVM 1"
"Repeat01",94.4366,95.4112,78.16,92.1816,88.3522,90.8188,66.8094,86.005,"Support Vector Machine","SVM 2"
"Repeat02",94.9632,95.3628,79.5194,92.5402,88.7028,90.632,63.2264,85.3948,"Support Vector Machine","SVM 2"
"Repeat03",93.9938,94.9328,76.9516,91.5892,89.7806,91.207,63.7788,86.1096,"Support Vector Machine","SVM 2"
"Repeat04",94.6992,95.4582,78.4644,92.3344,89.06,91.956,65.0802,86.5166,"Support Vector Machine","SVM 2"
"Repeat05",94.5208,95.1718,78.764,92.1798,87.9824,90.4414,64.492,85.2908,"Support Vector Machine","SVM 2"
"Repeat06",94.6094,95.2676,80.1162,92.4888,87.619,91.2106,65.5792,85.799,"Support Vector Machine","SVM 2"
"Repeat07",94.0834,94.7894,77.7172,91.6672,89.7618,91.0222,67.4688,86.6316,"Support Vector Machine","SVM 2"
"Repeat08",96.1152,96.6072,86.6086,94.7558,88.3398,90.064,66.845,85.6062,"Support Vector Machine","SVM 2"
"Repeat09",94.2572,95.4586,79.2138,92.3344,88.3458,90.619,63.8146,85.379,"Support Vector Machine","SVM 2"
"Repeat10",94.5242,95.603,78.0166,92.2848,89.7618,91.5822,61.4972,85.905,"Support Vector Machine","SVM 2"
"Repeat11",93.6388,94.8848,77.4118,91.538,89.3672,90.6336,66.8094,86.2056,"Support Vector Machine","SVM 2"
"Repeat12",94.0806,94.9334,78.1624,91.8214,89.0602,91.1996,66.8806,86.4258,"Support Vector Machine","SVM 2"
"Repeat13",94.7878,95.1722,79.3642,92.3614,89.0226,91.2052,65.0266,86.1108,"Support Vector Machine","SVM 2"
"Repeat14",95.0516,95.5536,80.4138,92.8224,87.9572,91.1868,64.4384,85.6816,"Support Vector Machine","SVM 2"
"Repeat15",94.5234,95.2202,77.2542,91.9496,89.4174,90.2418,65.6682,85.8028,"Support Vector Machine","SVM 2"
"Repeat16",94.7008,95.1724,79.0588,92.2842,88.3396,90.4414,63.8324,85.286,"Support Vector Machine","SVM 2"
"Repeat17",95.2258,96.4132,83.275,93.8236,87.9888,90.2434,65.0444,85.2826,"Support Vector Machine","SVM 2"
"Repeat18",94.6988,95.4108,79.2242,92.4384,89.0286,91.5878,65.0444,86.313,"Support Vector Machine","SVM 2"
"Repeat19",94.3468,94.8378,77.711,91.7698,89.0224,91.0184,66.2568,86.2106,"Support Vector Machine","SVM 2"
"Repeat20",94.7866,95.6972,78.7676,92.54,88.3084,91.782,66.8626,86.5178,"Support Vector Machine","SVM 2"
