"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",100,100,100,100,87.6376,90.0532,67.4332,85.4854,"M5","RF.1"
"Repeat02",100,100,100,100,86.9424,89.8646,66.8268,85.0844,"M5","RF.1"
"Repeat03",100,100,100,100,88.0264,90.2526,64.3852,85.1868,"M5","RF.1"
"Repeat04",100,100,100,100,87.287,90.044,66.2566,85.178,"M5","RF.1"
"Repeat05",100,100,100,100,87.638,91.0184,68.6808,86.2178,"M5","RF.1"
"Repeat06",100,100,100,100,86.5664,90.4488,66.827,85.29,"M5","RF.1"
"Repeat07",100,100,100,100,87.9948,89.6684,65.6684,85.0816,"M5","RF.1"
"Repeat08",100,100,100,100,87.306,89.4892,66.9162,84.9968,"M5","RF.1"
"Repeat09",100,100,100,100,86.9362,90.4342,67.469,85.4882,"M5","RF.1"
"Repeat10",100,100,100,100,87.287,89.0972,63.9214,84.2586,"M5","RF.1"
"Repeat11",100,100,100,100,86.8922,90.0588,66.2208,85.0726,"M5","RF.1"
"Repeat12",100,100,100,100,86.585,89.6704,68.1106,85.0908,"M5","RF.1"
"Repeat13",100,100,100,100,87.9576,89.4816,68.0392,85.388,"M5","RF.1"
"Repeat14",100,100,100,100,87.6004,89.099,66.845,84.873,"M5","RF.1"
"Repeat15",100,100,100,100,86.2658,89.6704,67.4688,84.8856,"M5","RF.1"
"Repeat16",100,100,100,100,87.2806,89.478,67.4154,85.073,"M5","RF.1"
"Repeat17",100,100,100,100,87.6442,90.2436,66.2386,85.3882,"M5","RF.1"
"Repeat18",100,100,100,100,86.554,90.053,67.4866,85.1788,"M5","RF.1"
"Repeat19",100,100,100,100,86.9112,90.0626,64.3852,84.7676,"M5","RF.1"
"Repeat20",100,100,100,100,87.9574,89.6776,68.663,85.59,"M5","RF.1"
"Repeat01",98.565,97.3312,98.585,97.8898,91.001,84.1226,75.5296,84.662,"M5","RF.2"
"Repeat02",98.8368,96.8724,98.2866,97.6596,90.4436,83.9736,79.8172,84.9806,"M5","RF.2"
"Repeat03",98.5444,97.228,97.9434,97.7128,90.9982,84.6202,77.7204,85.1886,"M5","RF.2"
"Repeat04",98.7404,97.3808,98.4742,97.9428,91.1648,84.4422,76.8302,85.0726,"M5","RF.2"
"Repeat05",98.2734,96.1144,96.9926,96.8644,91.4762,83.9838,76.8002,84.8844,"M5","RF.2"
"Repeat06",98.7454,98.4066,99.0564,98.6102,92.0674,84.7452,77.9962,85.5994,"M5","RF.2"
"Repeat07",99.0118,98.102,99.0268,98.5096,90.7926,84.7022,76.92,85.0786,"M5","RF.2"
"Repeat08",98.1738,95.8456,96.948,96.6794,90.9952,84.822,78.626,85.505,"M5","RF.2"
"Repeat09",98.472,96.9562,98.2896,97.6076,91.2042,84.1472,80.9874,85.485,"M5","RF.2"
"Repeat10",98.1034,95.8884,97.114,96.7066,90.0892,84.0484,75.901,84.5678,"M5","RF.2"
"Repeat11",99.1012,98.1516,98.8586,98.5352,91.5306,84.4672,78.7378,85.4884,"M5","RF.2"
"Repeat12",98.369,96.7134,98.0836,97.4044,89.7432,83.9926,78.9466,84.6758,"M5","RF.2"
"Repeat13",98.478,97.8446,98.9146,98.2018,90.5648,84.761,74.7358,84.8752,"M5","RF.2"
"Repeat14",97.2814,94.6506,96.159,95.6264,90.6468,84.1392,77.155,84.6664,"M5","RF.2"
"Repeat15",98.6544,97.7198,98.8704,98.172,91.6594,84.4442,77.484,85.0912,"M5","RF.2"
"Repeat16",98.3586,96.166,97.3026,96.9666,91.6052,84.8952,77.9484,85.593,"M5","RF.2"
"Repeat17",98.8166,97.0512,97.9082,97.685,89.819,84.3608,80.2186,85.1842,"M5","RF.2"
"Repeat18",98.4836,97.1534,98.7352,97.7888,90.9906,84.531,77.1564,85.0784,"M5","RF.2"
"Repeat19",98.1836,96.3462,97.1368,96.991,91.215,84.4692,76.8436,84.8734,"M5","RF.2"
"Repeat20",98.5736,97.1626,99.2124,97.8918,89.6222,84.081,76.5074,84.3574,"M5","RF.2"
