"ID1","TrainClase1","TrainClase2","TrainClase3","TrainGlobal","TestClase1","TestClase2","TestClase3","TestGlobal","Modelo","Nombre"
"Repeat01",93.5514,94.6936,76.2032,91.2034,88.703,90.6282,69.2334,86.4172,"M4","SVM_1"
"Repeat02",93.993,94.9806,76.5096,91.538,88.7028,90.2474,63.8324,85.2906,"M4","SVM_1"
"Repeat03",93.6402,94.6934,76.5004,91.2804,89.7806,91.3992,63.7788,86.2132,"M4","SVM_1"
"Repeat04",94.0822,94.9802,76.057,91.4864,89.4172,91.5732,65.6862,86.5182,"M4","SVM_1"
"Repeat05",93.903,94.503,76.2052,91.2034,88.3394,90.4414,66.9162,85.809,"M4","SVM_1"
"Repeat06",93.9048,94.79,77.2556,91.5382,88.6904,90.639,66.1854,85.905,"M4","SVM_1"
"Repeat07",93.6416,94.4548,77.5668,91.3332,89.7618,91.0202,67.4688,86.6316,"M4","SVM_1"
"Repeat08",93.375,94.7422,77.1076,91.3324,89.0414,91.2052,66.8806,86.4262,"M4","SVM_1"
"Repeat09",93.4634,94.8378,76.808,91.3584,89.4112,90.6228,65.0266,85.8972,"M4","SVM_1"
"Repeat10",93.64,94.8854,76.8044,91.4344,89.7554,91.1978,62.1034,85.7996,"M4","SVM_1"
"Repeat11",93.4618,94.598,76.9584,91.255,89.3672,90.443,66.2034,85.9992,"M4","SVM_1"
"Repeat12",93.9922,94.6944,77.2602,91.5126,89.0602,91.2034,66.9164,86.4314,"M4","SVM_1"
"Repeat13",94.1684,94.694,76.2054,91.3836,89.7242,91.0148,66.8448,86.5216,"M4","SVM_1"
"Repeat14",93.5508,94.6454,76.8044,91.2802,88.6654,91.194,68.0748,86.512,"M4","SVM_1"
"Repeat15",93.8172,94.8376,76.9536,91.4868,89.0666,90.2436,65.6684,85.7014,"M4","SVM_1"
"Repeat16",93.8158,94.742,77.2534,91.4862,89.3922,91.0128,65.6506,86.21,"M4","SVM_1"
"Repeat17",93.6382,94.6938,77.11,91.3832,89.0664,91.0128,65.6508,86.1132,"M4","SVM_1"
"Repeat18",93.992,94.6936,76.5152,91.3836,89.3794,90.8242,66.8626,86.312,"M4","SVM_1"
"Repeat19",93.9926,94.6462,76.9584,91.4354,89.0224,90.826,65.6508,86.0044,"M4","SVM_1"
"Repeat20",93.9038,95.0766,76.5096,91.5638,89.0164,91.207,67.4688,86.5174,"M4","SVM_1"
"Repeat01",94.348,95.0762,78.0098,91.95,88.703,90.4378,67.4154,86.005,"M4","SVM_2"
"Repeat02",95.9342,95.7928,83.288,93.6972,88.7028,90.0568,62.032,84.8796,"M4","SVM_2"
"Repeat03",95.5816,95.363,81.4628,93.054,89.079,90.4398,64.385,85.5978,"M4","SVM_2"
"Repeat04",95.8498,95.6022,82.382,93.4162,89.768,90.8094,66.8984,86.4166,"M4","SVM_2"
"Repeat05",96.022,95.745,82.3822,93.5424,87.262,90.0588,63.886,84.7728,"M4","SVM_2"
"Repeat06",95.05,95.4106,81.4698,92.9252,88.3332,91.2106,66.7914,86.2134,"M4","SVM_2"
"Repeat07",95.2306,95.4108,81.4766,92.9786,90.476,90.4434,66.8628,86.4244,"M4","SVM_2"
"Repeat08",96.9084,96.5102,86.4514,94.9068,89.0414,90.055,65.0626,85.4992,"M4","SVM_2"
"Repeat09",95.6708,96.0798,82.2372,93.5954,89.0476,89.8536,63.2264,85.0698,"M4","SVM_2"
"Repeat10",94.9656,95.4112,78.9166,92.4638,89.4046,91.3882,60.8912,85.5924,"M4","SVM_2"
"Repeat11",94.0794,95.028,78.7652,91.9746,89.01,90.826,67.4154,86.3092,"M4","SVM_2"
"Repeat12",95.5802,95.7448,83.134,93.5426,88.6966,90.0476,66.2746,85.5966,"M4","SVM_2"
"Repeat13",96.2908,95.6988,84.7858,94.0084,89.7242,90.632,66.2208,86.2104,"M4","SVM_2"
"Repeat14",95.2274,95.3142,80.7144,92.796,88.3082,90.6134,65.6506,85.6816,"M4","SVM_2"
"Repeat15",95.6704,95.7452,81.3144,93.2598,89.4174,89.4742,63.244,84.976,"M4","SVM_2"
"Repeat16",96.4676,96.0328,84.4838,94.1884,89.3924,88.5332,63.2444,84.4642,"M4","SVM_2"
"Repeat17",95.1392,95.9838,81.3202,93.234,89.4172,90.628,65.6504,86.008,"M4","SVM_2"
"Repeat18",95.7608,95.8894,83.1408,93.674,90.0814,91.0164,68.057,86.8252,"M4","SVM_2"
"Repeat19",95.5858,95.4596,81.0272,93.0314,88.6716,90.6376,65.0446,85.6988,"M4","SVM_2"
"Repeat20",95.8484,96.6062,83.4442,94.137,88.3084,89.8772,67.4508,85.5952,"M4","SVM_2"
