"ID1","TrainClase1","TrainClase2","TrainGlobal","TestClase1","TestClase2","TestGlobal","Modelo","Nombre"
"Repeat01",98.4038,92.5794,96.7082,96.9542,87.644,94.239,"Support Vector Machine","SVM 1"
"Repeat02",98.4398,92.493,96.7082,97.242,88.3394,94.6516,"Support Vector Machine","SVM 1"
"Repeat03",98.4762,92.7558,96.8106,97.679,88.6906,95.0602,"Support Vector Machine","SVM 1"
"Repeat04",98.44,92.6672,96.7592,96.8092,87.2808,94.037,"Support Vector Machine","SVM 1"
"Repeat05",98.2584,92.7552,96.6562,97.241,87.9824,94.5446,"Support Vector Machine","SVM 1"
"Repeat06",98.5124,92.3138,96.7076,97.0982,88.302,94.544,"Support Vector Machine","SVM 1"
"Repeat07",98.4398,92.669,96.7592,97.3858,87.2806,94.4446,"Support Vector Machine","SVM 1"
"Repeat08",98.3672,92.8438,96.7592,97.243,88.3332,94.6486,"Support Vector Machine","SVM 1"
"Repeat09",98.2948,92.6688,96.6564,97.2408,88.678,94.7508,"Support Vector Machine","SVM 1"
"Repeat10",98.1862,92.8438,96.6306,97.0992,87.6252,94.3402,"Support Vector Machine","SVM 1"
"Repeat11",98.4402,92.7572,96.785,97.0982,87.9888,94.4476,"Support Vector Machine","SVM 1"
"Repeat12",98.3674,92.1374,96.5536,96.5186,87.9638,94.0316,"Support Vector Machine","SVM 1"
"Repeat13",98.4036,92.6688,96.7336,97.098,88.3208,94.5454,"Support Vector Machine","SVM 1"
"Repeat14",98.4036,92.7558,96.7594,96.9532,87.9446,94.3388,"Support Vector Machine","SVM 1"
"Repeat15",98.4762,92.6676,96.7848,97.24,87.9952,94.5454,"Support Vector Machine","SVM 1"
"Repeat16",98.331,92.5804,96.6566,97.8258,88.346,95.064,"Support Vector Machine","SVM 1"
"Repeat17",98.4036,92.1374,96.579,97.24,88.3394,94.6486,"Support Vector Machine","SVM 1"
"Repeat18",98.5126,91.959,96.6048,97.0962,87.97,94.4408,"Support Vector Machine","SVM 1"
"Repeat19",98.4036,92.668,96.7334,97.3904,87.9888,94.6528,"Support Vector Machine","SVM 1"
"Repeat20",98.5126,92.5812,96.7852,97.3882,89.0474,94.9602,"Support Vector Machine","SVM 1"
"Repeat01",98.4398,93.2844,96.9388,97.0992,87.287,94.2384,"Support Vector Machine","SVM 2"
"Repeat02",98.5488,94.1682,97.2736,97.3858,87.2744,94.4434,"Support Vector Machine","SVM 2"
"Repeat03",98.4398,93.7248,97.0674,97.6778,87.619,94.7496,"Support Vector Machine","SVM 2"
"Repeat04",98.621,94.4328,97.4016,96.5152,86.2158,93.5178,"Support Vector Machine","SVM 2"
"Repeat05",98.5852,94.258,97.325,96.95,86.9236,94.0296,"Support Vector Machine","SVM 2"
"Repeat06",98.7302,93.905,97.3252,96.9532,87.2556,94.1344,"Support Vector Machine","SVM 2"
"Repeat07",98.5488,93.111,96.965,97.3858,87.2806,94.4446,"Support Vector Machine","SVM 2"
"Repeat08",98.4762,93.9936,97.1706,96.9532,88.3332,94.443,"Support Vector Machine","SVM 2"
"Repeat09",98.3674,93.022,96.8108,97.3858,88.3272,94.7508,"Support Vector Machine","SVM 2"
"Repeat10",98.8388,95.1404,97.762,96.5164,86.9174,93.7204,"Support Vector Machine","SVM 2"
"Repeat11",98.5488,93.8154,97.1704,96.9522,87.2806,94.1374,"Support Vector Machine","SVM 2"
"Repeat12",98.3674,92.9336,96.7852,96.8082,87.9638,94.2368,"Support Vector Machine","SVM 2"
"Repeat13",98.4398,92.8452,96.8108,97.243,87.6192,94.4428,"Support Vector Machine","SVM 2"
"Repeat14",98.3674,92.9324,96.785,96.9534,87.9446,94.3382,"Support Vector Machine","SVM 2"
"Repeat15",98.5124,92.9324,96.8878,97.385,88.703,94.8542,"Support Vector Machine","SVM 2"
"Repeat16",98.4038,92.8454,96.7854,97.2452,87.9888,94.5492,"Support Vector Machine","SVM 2"
"Repeat17",98.4036,93.0224,96.8366,97.531,87.6376,94.6498,"Support Vector Machine","SVM 2"
"Repeat18",98.73,93.6348,97.2468,96.5112,87.6128,93.9216,"Support Vector Machine","SVM 2"
"Repeat19",98.4036,93.3742,96.939,97.2434,87.6316,94.4446,"Support Vector Machine","SVM 2"
"Repeat20",98.5852,93.9928,97.2478,97.0982,87.9824,94.4452,"Support Vector Machine","SVM 2"
